Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Concetta Scaravaglione,,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,
Anna Glenny,,,,,,,,,,,,,,,,,,,,,,,,
Paula Modersohn-Becker,Renee Sintenis,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Georgia O'Keeffe,Stella F. Simon,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Mary Cassatt,Anna Glenny,Georgia O'Keeffe,Gertrude Vanderbilt Whitney,,,,,,,,,,,,,,,,,,,,,
Matilda A. Haviland,,,,,,,,,,,,,,,,,,,,,,,,
Anne Goldthwaite,Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Perriand,,,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Mabel Alvarez,Anna Glenny,Louisa W. Robins,,,,,,,,,,,,,,,,,,,,,,
Natalia Goncharova,Valentina Khodasevich,Jo Mielziner,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Kathe Kollwitz,Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,
Marie Laurencin,,,,,,,,,,,,,,,,,,,,,,,,
Julia Eckel,Lily Furodi,Victoria Hutson,Georgina Klitgaard,Olivia Shephard,,,,,,,,,,,,,,,,,,,,
Katherine S. Dreier,Georgia O'Keeffe,Florine Stettheimer,,,,,,,,,,,,,,,,,,,,,,
Anna Glenny,Marguerite Zorach,,,,,,,,,,,,,,,,,,,,,,,
Georgia O'Keeffe,Marguerite Zorach,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Exter,Natalia Goncharova,Lyubov Popova,Varvara Stepanova,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Marie Laurencin,Mariette Lydis,,,,,,,,,,,,,,,,,,,,,,
Lilly Reich,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Frances Avery,Vera Baker,Lucienne Bloch,Mabel Dwight,Eugenie Gershoy,Georgina Klitgaard,Joan Knobe,Loren MacIver,Rhoda Rich,Helen Rimland,Lena Safer,Concetta Scaravaglione,,,,,,,,,,,,
Katherine S. Dreier,Germaine Dulac,Bernard Gaillot,Elizabeth King Hawley,Hannah Hoch,Helen Lundeberg,Dora Maar (Henriette Theodora Markovitch),Loren MacIver,Georgia O'Keeffe,Meret Oppenheim,Sophie Taeuber-Arp,,,,,,,,,,,,,,
Ruth Reeves,Marguerite Zorach,,,,,,,,,,,,,,,,,,,,,,,
Barbara Hepworth,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Laure Albin-Guillot,Ilse Bing,Margaret Bourke-White,Julia Margaret Cameron,Imogen Cunningham,Louise Dahl-Wolfe,Gertrude Fuld,Florence Henri,Gertrude Kaseebier,Fay Sturtevant Lincoln,Rogi Andre (Rozsa Klein),Ylla,,,,,,,,,,,,
Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,
Frances Avery,Claire (Claire Mahl) Moore,Elizabeth Olds,,,,,,,,,,,,,,,,,,,,,,
Seraphine Louis,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Peggy Bacon,Margaret Bourke-White,Mary Cassatt,Imogen Cunningham,Mabel Dwight,Laureen Ford,Ada V. Gabriel,Wanda Gag,Anna Glenny,Anne Goldthwaite,Minna R. Harkavy,Dorothea Lange,Mrs. Pare Lorentz,Loren MacIver,Georgia O'Keeffe,Doris Rosenthal,Concetta Scaravaglione,Gertrude Vanderbilt Whitney,Marguerite Zorach,,,,,
Anne Goldthwaite,Minna R. Harkavy,Loren MacIver,,,,,,,,,,,,,,,,,,,,,,
Anni Albers,Marianne Brandt,Florence Henri,Juliet Kepes,Alma Siedhoff-Buscher,Gunta Stolzl,Marguerite Wildenhain,,,,,,,,,,,,,,,,,,
Mary Cassatt,Wanda Gag,Minna R. Harkavy,Kathe Kollwitz,Loren MacIver,Georgia O'Keeffe,Renee Sintenis,Florine Stettheimer,,,,,,,,,,,,,,,,,
