source,target,Type,Weight
Peggy Bacon,Marie Laurencin,Undirected,6
Concetta Scaravaglione,Marie Laurencin,Undirected,2
Georgia O'Keeffe,Marie Laurencin,Undirected,5
Anna Glenny,Marie Laurencin,Undirected,1
Berenice Abbott,Marie Laurencin,Undirected,1
Mary Cassatt,Marie Laurencin,Undirected,1
Gertrude Vanderbilt Whitney,Marie Laurencin,Undirected,1
Natalia Goncharova,Marie Laurencin,Undirected,3
Kathe Kollwitz,Marie Laurencin,Undirected,3
Florine Stettheimer,Marie Laurencin,Undirected,3
Marguerite Zorach,Marie Laurencin,Undirected,2
Alexandra Exter,Marie Laurencin,Undirected,1
Varvara Stepanova,Marie Laurencin,Undirected,1
Mariette Lydis,Marie Laurencin,Undirected,1
Eugenie Gershoy,Marie Laurencin,Undirected,1
Loren MacIver,Marie Laurencin,Undirected,1
Wanda Gag,Marie Laurencin,Undirected,1
Minna R. Harkavy,Marie Laurencin,Undirected,1
Lily Cushing,Marie Laurencin,Undirected,1
Frida Kahlo,Marie Laurencin,Undirected,2
Irene Rice Pereira,Marie Laurencin,Undirected,1
Eloise Howard,Marie Laurencin,Undirected,1
Alice Boughton,Marie Laurencin,Undirected,1
Leonora Carrington,Marie Laurencin,Undirected,1
Lotte Jacobi,Marie Laurencin,Undirected,1
Chana Orloff,Marie Laurencin,Undirected,1
Elsa Schmid,Marie Laurencin,Undirected,2
Amelia Pelaez del Casal,Marie Laurencin,Undirected,2
Suzanne Valadon,Marie Laurencin,Undirected,1
Irene Aronson,Marie Laurencin,Undirected,1
Dorothy Hood,Marie Laurencin,Undirected,1
Hedda Sterne,Marie Laurencin,Undirected,1
Carmen L. Cicero,Marie Laurencin,Undirected,1
Jane Poupelet,Marie Laurencin,Undirected,1
Sonia Delaunay-Terk,Marie Laurencin,Undirected,2
Gwen John,Marie Laurencin,Undirected,2
Agnes Martin,Marie Laurencin,Undirected,2
Patricia Johanson,Marie Laurencin,Undirected,1
Gertrude Stein,Marie Laurencin,Undirected,1
Emily Fuller,Marie Laurencin,Undirected,1
Baroness Elsa von Freytag-Loringhoven,Marie Laurencin,Undirected,1
Elena Borstein,Marie Laurencin,Undirected,1
Linda Chapman,Marie Laurencin,Undirected,1
Helen Torr,Marie Laurencin,Undirected,1
Marie Laurencin,Peggy Bacon,Undirected,6
Concetta Scaravaglione,Peggy Bacon,Undirected,3
Georgia O'Keeffe,Peggy Bacon,Undirected,4
Anna Glenny,Peggy Bacon,Undirected,2
Berenice Abbott,Peggy Bacon,Undirected,2
Mary Cassatt,Peggy Bacon,Undirected,4
Gertrude Vanderbilt Whitney,Peggy Bacon,Undirected,1
Anne Goldthwaite,Peggy Bacon,Undirected,1
Charlotte Perriand,Peggy Bacon,Undirected,1
Kathe Kollwitz,Peggy Bacon,Undirected,6
Florine Stettheimer,Peggy Bacon,Undirected,2
Marguerite Zorach,Peggy Bacon,Undirected,3
Alexandra Exter,Peggy Bacon,Undirected,1
Mariette Lydis,Peggy Bacon,Undirected,1
Mabel Dwight,Peggy Bacon,Undirected,2
Loren MacIver,Peggy Bacon,Undirected,1
Hannah Hoch,Peggy Bacon,Undirected,1
Meret Oppenheim,Peggy Bacon,Undirected,1
Margaret Bourke-White,Peggy Bacon,Undirected,2
Imogen Cunningham,Peggy Bacon,Undirected,2
Elizabeth Olds,Peggy Bacon,Undirected,1
Laureen Ford,Peggy Bacon,Undirected,1
Ada V. Gabriel,Peggy Bacon,Undirected,1
Wanda Gag,Peggy Bacon,Undirected,3
Minna R. Harkavy,Peggy Bacon,Undirected,1
Dorothea Lange,Peggy Bacon,Undirected,1
Mrs. Pare Lorentz,Peggy Bacon,Undirected,1
Doris Rosenthal,Peggy Bacon,Undirected,1
Anni Albers,Peggy Bacon,Undirected,1
Marianne Brandt,Peggy Bacon,Undirected,1
Frida Kahlo,Peggy Bacon,Undirected,1
Irene Rice Pereira,Peggy Bacon,Undirected,2
Eloise Howard,Peggy Bacon,Undirected,1
Elsa Schmid,Peggy Bacon,Undirected,1
Amelia Pelaez del Casal,Peggy Bacon,Undirected,2
Suzanne Valadon,Peggy Bacon,Undirected,2
Sue Fuller,Peggy Bacon,Undirected,1
Anne Ryan,Peggy Bacon,Undirected,1
Dorothy Hood,Peggy Bacon,Undirected,2
Louise Bourgeois,Peggy Bacon,Undirected,2
Tina Modotti,Peggy Bacon,Undirected,1
Minna Citron,Peggy Bacon,Undirected,1
Hedda Sterne,Peggy Bacon,Undirected,1
Dorothy Dehner,Peggy Bacon,Undirected,1
Jane Poupelet,Peggy Bacon,Undirected,1
Sonia Delaunay-Terk,Peggy Bacon,Undirected,1
Gwen John,Peggy Bacon,Undirected,1
Louise Nevelson,Peggy Bacon,Undirected,2
Nancy Graves,Peggy Bacon,Undirected,2
Pat Steir,Peggy Bacon,Undirected,2
Jeanne Mammen,Peggy Bacon,Undirected,1
Vera Ermolaeva,Peggy Bacon,Undirected,1
Helen Torr,Peggy Bacon,Undirected,1
Erika Giovanna Klien,Peggy Bacon,Undirected,1
Ida Applebroog,Peggy Bacon,Undirected,2
Carolina Nitsch,Peggy Bacon,Undirected,1
Marie Laurencin,Concetta Scaravaglione,Undirected,2
Peggy Bacon,Concetta Scaravaglione,Undirected,3
Georgia O'Keeffe,Concetta Scaravaglione,Undirected,2
Anna Glenny,Concetta Scaravaglione,Undirected,2
Berenice Abbott,Concetta Scaravaglione,Undirected,3
Mary Cassatt,Concetta Scaravaglione,Undirected,2
Gertrude Vanderbilt Whitney,Concetta Scaravaglione,Undirected,2
Anne Goldthwaite,Concetta Scaravaglione,Undirected,1
Kathe Kollwitz,Concetta Scaravaglione,Undirected,2
Georgina Klitgaard,Concetta Scaravaglione,Undirected,1
Florine Stettheimer,Concetta Scaravaglione,Undirected,3
Marguerite Zorach,Concetta Scaravaglione,Undirected,2
Frances Avery,Concetta Scaravaglione,Undirected,1
Vera Baker,Concetta Scaravaglione,Undirected,1
Lucienne Bloch,Concetta Scaravaglione,Undirected,1
Mabel Dwight,Concetta Scaravaglione,Undirected,2
Eugenie Gershoy,Concetta Scaravaglione,Undirected,2
Joan Knobe,Concetta Scaravaglione,Undirected,1
Loren MacIver,Concetta Scaravaglione,Undirected,3
Rhoda Rich,Concetta Scaravaglione,Undirected,1
Helen Rimland,Concetta Scaravaglione,Undirected,1
Lena Safer,Concetta Scaravaglione,Undirected,1
Margaret Bourke-White,Concetta Scaravaglione,Undirected,1
Imogen Cunningham,Concetta Scaravaglione,Undirected,1
Laureen Ford,Concetta Scaravaglione,Undirected,1
Ada V. Gabriel,Concetta Scaravaglione,Undirected,1
Wanda Gag,Concetta Scaravaglione,Undirected,1
Minna R. Harkavy,Concetta Scaravaglione,Undirected,3
Dorothea Lange,Concetta Scaravaglione,Undirected,1
Mrs. Pare Lorentz,Concetta Scaravaglione,Undirected,1
Doris Rosenthal,Concetta Scaravaglione,Undirected,1
Lily Cushing,Concetta Scaravaglione,Undirected,1
Frida Kahlo,Concetta Scaravaglione,Undirected,2
Irene Rice Pereira,Concetta Scaravaglione,Undirected,1
Maria Martins,Concetta Scaravaglione,Undirected,1
Alice Boughton,Concetta Scaravaglione,Undirected,1
Leonora Carrington,Concetta Scaravaglione,Undirected,1
Lotte Jacobi,Concetta Scaravaglione,Undirected,1
Chana Orloff,Concetta Scaravaglione,Undirected,1
Elsa Schmid,Concetta Scaravaglione,Undirected,2
Gwen John,Concetta Scaravaglione,Undirected,1
Marie Laurencin,Georgia O'Keeffe,Undirected,5
Peggy Bacon,Georgia O'Keeffe,Undirected,4
Concetta Scaravaglione,Georgia O'Keeffe,Undirected,2
Anna Glenny,Georgia O'Keeffe,Undirected,2
Renee Sintenis,Georgia O'Keeffe,Undirected,3
Berenice Abbott,Georgia O'Keeffe,Undirected,3
Stella F. Simon,Georgia O'Keeffe,Undirected,1
Mary Cassatt,Georgia O'Keeffe,Undirected,5
Gertrude Vanderbilt Whitney,Georgia O'Keeffe,Undirected,2
Anne Goldthwaite,Georgia O'Keeffe,Undirected,2
Charlotte Perriand,Georgia O'Keeffe,Undirected,1
Natalia Goncharova,Georgia O'Keeffe,Undirected,3
Kathe Kollwitz,Georgia O'Keeffe,Undirected,4
Katherine S. Dreier,Georgia O'Keeffe,Undirected,4
Florine Stettheimer,Georgia O'Keeffe,Undirected,5
Marguerite Zorach,Georgia O'Keeffe,Undirected,2
Alexandra Exter,Georgia O'Keeffe,Undirected,3
Varvara Stepanova,Georgia O'Keeffe,Undirected,1
Mabel Dwight,Georgia O'Keeffe,Undirected,1
Loren MacIver,Georgia O'Keeffe,Undirected,8
Germaine Dulac,Georgia O'Keeffe,Undirected,1
Bernard Gaillot,Georgia O'Keeffe,Undirected,1
Elizabeth King Hawley,Georgia O'Keeffe,Undirected,1
Hannah Hoch,Georgia O'Keeffe,Undirected,3
Helen Lundeberg,Georgia O'Keeffe,Undirected,1
Dora Maar (Henriette Theodora Markovitch),Georgia O'Keeffe,Undirected,1
Meret Oppenheim,Georgia O'Keeffe,Undirected,1
Sophie Taeuber-Arp,Georgia O'Keeffe,Undirected,1
Barbara Hepworth,Georgia O'Keeffe,Undirected,2
Margaret Bourke-White,Georgia O'Keeffe,Undirected,2
Imogen Cunningham,Georgia O'Keeffe,Undirected,2
Laureen Ford,Georgia O'Keeffe,Undirected,1
Ada V. Gabriel,Georgia O'Keeffe,Undirected,1
Wanda Gag,Georgia O'Keeffe,Undirected,2
Minna R. Harkavy,Georgia O'Keeffe,Undirected,5
Dorothea Lange,Georgia O'Keeffe,Undirected,1
Mrs. Pare Lorentz,Georgia O'Keeffe,Undirected,1
Doris Rosenthal,Georgia O'Keeffe,Undirected,1
Anni Albers,Georgia O'Keeffe,Undirected,1
Marianne Brandt,Georgia O'Keeffe,Undirected,1
Frida Kahlo,Georgia O'Keeffe,Undirected,3
Irene Rice Pereira,Georgia O'Keeffe,Undirected,8
Maria Martins,Georgia O'Keeffe,Undirected,3
Elsa Schmid,Georgia O'Keeffe,Undirected,2
Raquel Forner,Georgia O'Keeffe,Undirected,1
Amelia Pelaez del Casal,Georgia O'Keeffe,Undirected,4
Elizabeth Sparhawk-Jones,Georgia O'Keeffe,Undirected,1
Lilly Martin Spencer,Georgia O'Keeffe,Undirected,1
Julia Thecla,Georgia O'Keeffe,Undirected,1
Suzanne Valadon,Georgia O'Keeffe,Undirected,1
Sue Fuller,Georgia O'Keeffe,Undirected,1
Anne Ryan,Georgia O'Keeffe,Undirected,2
Mary Callery,Georgia O'Keeffe,Undirected,1
Dorothy Hood,Georgia O'Keeffe,Undirected,1
Honore Sharrer,Georgia O'Keeffe,Undirected,3
Fannie Hillsmith,Georgia O'Keeffe,Undirected,2
Tina Modotti,Georgia O'Keeffe,Undirected,1
Worden Day,Georgia O'Keeffe,Undirected,1
Gertrude Greene,Georgia O'Keeffe,Undirected,1
Jeanne Reynal,Georgia O'Keeffe,Undirected,2
Carmen L. Cicero,Georgia O'Keeffe,Undirected,1
Grace Hartigan,Georgia O'Keeffe,Undirected,1
Maria Helena Vieira da Silva,Georgia O'Keeffe,Undirected,1
